Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United States,USA,"Account, income, richest 60% (% age 15+)",account_t_d_4,94.19736,..,..,97.36673,..,..,98.36721,..,..
United States,USA,"Account, male (% age 15+)",account_t_d_2,91.98194,..,..,92.36126,..,..,93.57034,..,..
United States,USA,Active account (% age 15+),gf7_n,..,..,..,89.83496,..,..,90.26164,..,..
United States,USA,Active account (% age 60+),gf7_n_7,..,..,..,92.53314,..,..,94.53241,..,..
United States,USA,Active account (% ages 15-34),gf7_n_5,..,..,..,86.75581,..,..,85.27889,..,..
United States,USA,Active account (% ages 35-59),gf7_n_6,..,..,..,90.59106,..,..,91.10727,..,..
United States,USA,"Active account, female (% age 15+)",gf7_n_1,..,..,..,90.97975,..,..,91.23932,..,..
United States,USA,"Active account, income, poorest 40% (% age 15+)",gf7_n_3,..,..,..,81.487,..,..,80.05111,..,..
United States,USA,"Active account, income, richest 60% (% age 15+)",gf7_n_4,..,..,..,95.19413,..,..,97.03759,..,..
United States,USA,"Active account, male (% age 15+)",gf7_n_2,..,..,..,88.68203,..,..,89.25656,..,..
United States,USA,"Agents of payment service providers per 100,000 adults",GPSS_3,..,..,..,..,..,..,..,..,..
United States,USA,"ATMs per 100,000 adults",i_ATMs_pop,..,..,..,..,..,..,..,..,..
United States,USA,Borrowed from a financial institution or used a credit card (% age 15+),fin22a_t_d,..,..,..,64.57773,..,..,68.35927,..,..
United States,USA,Borrowed from a financial institution or used a credit card (% age 60+),fin22a_t_d_7,..,..,..,70.43849,..,..,79.99716,..,..
United States,USA,Borrowed from a financial institution or used a credit card (% ages 15-34),fin22a_t_d_5,..,..,..,49.38932,..,..,57.18877,..,..
United States,USA,Borrowed from a financial institution or used a credit card (% ages 35-59),fin22a_t_d_6,..,..,..,72.3321,..,..,68.70769,..,..
United States,USA,"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a_t_d_1,..,..,..,67.05084,..,..,66.93898,..,..
United States,USA,"Borrowed from a financial institution or used a credit card, income, poorest 40% (% age 15+)",fin22a_t_d_3,..,..,..,51.48005,..,..,49.0381,..,..
United States,USA,"Borrowed from a financial institution or used a credit card, income, richest 60% (% age 15+)",fin22a_t_d_4,..,..,..,72.98609,..,..,81.18126,..,..
United States,USA,"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a_t_d_2,..,..,..,62.08702,..,..,69.81936,..,..
United States,USA,"Branches per 100,000 adults",i_branches_A1_pop,35.12835,34.86706,33.60591,32.37977,33.01795,32.63826,31.46161,..,..
United States,USA,"Debit cards per 1,000 adults",GPSS_5,1146.976,1154.507,1163.786,1174.105,..,..,..,..,..
United States,USA,"Deposit accounts per 1,000 adults",i_deposit_acc_A1_pop,..,..,..,..,..,..,..,..,..
United States,USA,Disclosure index (0-5),GPFI2,..,..,5,..,..,..,..,..,..
United States,USA,Dispute resolution index (0-1),GPFI3,..,..,0.5,..,..,..,..,..,..
United States,USA,"E-money accounts per 1,000 adults",GPSS_1,..,..,..,..,..,..,..,..,..
United States,USA,Financial knowledge score (0-3),GPFI1_TOTL,..,..,..,..,..,..,..,..,..
United States,USA,Getting credit: Distance to frontier (0-100),GPFI4,..,..,..,..,95,95,95,95,95
United States,USA,Has a national identity card (% age 15+),fin48_a,..,..,..,..,..,..,..,..,..
United States,USA,Has a national identity card (% age 60+),fin48_a_7,..,..,..,..,..,..,..,..,..
United States,USA,Has a national identity card (% ages 15-34),fin48_a_5,..,..,..,..,..,..,..,..,..
United States,USA,Has a national identity card (% ages 35-59),fin48_a_6,..,..,..,..,..,..,..,..,..
United States,USA,"Has a national identity card, female (% age 15+)",fin48_a_1,..,..,..,..,..,..,..,..,..
United States,USA,"Has a national identity card, income, poorest 40% (% age 15+)",fin48_a_3,..,..,..,..,..,..,..,..,..
United States,USA,"Has a national identity card, income, richest 60% (% age 15+)",fin48_a_4,..,..,..,..,..,..,..,..,..
United States,USA,"Has a national identity card, male (% age 15+)",fin48_a_2,..,..,..,..,..,..,..,..,..
United States,USA,"Insurance policy holders per 1,000 adults (life)",s_policyholders_B2_life,..,..,..,..,..,..,..,..,..
United States,USA,"Insurance policy holders per 1,000 adults (non-life)",s_policyholders_B2_nonlife,..,..,..,..,..,..,..,..,..
United States,USA,Interoperability of ATM networks and interoperability of POS terminals (0-1),GPSS,..,..,..,..,..,..,..,..,..
United States,USA,Made or received digital payments in the past year (% age 15+),g20_t,..,..,..,91.19378,..,..,91.10616,..,..
United States,USA,Made or received digital payments in the past year (% age 60+),g20_t_7,..,..,..,93.04017,..,..,95.65504,..,..
United States,USA,Made or received digital payments in the past year (% ages 15-34),g20_t_5,..,..,..,88.03133,..,..,85.91788,..,..
United States,USA,Made or received digital payments in the past year (% ages 35-59),g20_t_6,..,..,..,92.71967,..,..,91.91024,..,..
United States,USA,"Made or received digital payments in the past year, female (% age 15+)",g20_t_1,..,..,..,92.68296,..,..,90.84594,..,..
United States,USA,"Made or received digital payments in the past year, income, poorest 40% (% age 15+)",g20_t_3,..,..,..,84.87985,..,..,80.97511,..,..
United States,USA,"Made or received digital payments in the past year, income, richest 60% (% age 15+)",g20_t_4,..,..,..,95.24716,..,..,97.82938,..,..
United States,USA,"Made or received digital payments in the past year, male (% age 15+)",g20_t_2,..,..,..,89.69402,..,..,91.37368,..,..
United States,USA,Made payment using a mobile phone or the internet (% age 15+),gf4_n,..,..,..,..,..,..,67.25627,..,..
United States,USA,Made payment using a mobile phone or the internet (% age 60+),gf4_n_7,..,..,..,..,..,..,53.70142,..,..
United States,USA,Made payment using a mobile phone or the internet (% ages 15-34),gf4_n_5,..,..,..,..,..,..,72.44714,..,..
United States,USA,Made payment using a mobile phone or the internet (% ages 35-59),gf4_n_6,..,..,..,..,..,..,73.20331,..,..
United States,USA,"Made payment using a mobile phone or the internet, female (% age 15+)",gf4_n_1,..,..,..,..,..,..,66.64887,..,..
United States,USA,"Made payment using a mobile phone or the internet, income, poorest 40% (% age 15+)",gf4_n_3,..,..,..,..,..,..,55.5567,..,..
United States,USA,"Made payment using a mobile phone or the internet, income, richest 60% (% age 15+)",gf4_n_4,..,..,..,..,..,..,75.02038,..,..
United States,USA,"Made payment using a mobile phone or the internet, male (% age 15+)",gf4_n_2,..,..,..,..,..,..,67.88069,..,..
United States,USA,Main source of emergency funds: savings (% age 15+),fin25a_t_a_s,..,..,..,59.69834,..,..,57.38469,..,..
United States,USA,Main source of emergency funds: savings (% age 60+),fin25a_t_a_s_7,..,..,..,74.79991,..,..,67.23124,..,..
United States,USA,Main source of emergency funds: savings (% ages 35-59),fin25a_t_a_s_6,..,..,..,60.27359,..,..,60.11751,..,..
United States,USA,"Main source of emergency funds: savings, (% ages 15-34)",fin25a_t_a_s_5,..,..,..,45.55175,..,..,42.60851,..,..
United States,USA,"Main source of emergency funds: savings, female  (% age 15+)",fin25a_t_a_s_1,..,..,..,61.53038,..,..,58.25988,..,..
United States,USA,"Main source of emergency funds: savings, income, poorest 40% (% age 15+)",fin25a_t_a_s_3,..,..,..,51.10033,..,..,45.40251,..,..
United States,USA,"Main source of emergency funds: savings, income, richest 60% (% age 15+)",fin25a_t_a_s_4,..,..,..,62.79661,..,..,61.61118,..,..
United States,USA,"Main source of emergency funds: savings, male (% age 15+)",fin25a_t_a_s_2,..,..,..,58.12635,..,..,56.57263,..,..
United States,USA,"Mobile agent outlets per 100,000 adults",i_mob_agent_pop_registered,..,..,..,..,..,..,..,..,..
United States,USA,"Mobile money transactions per 100,000 adults",i_mob_transactions_number_pop,..,..,..,..,..,..,..,..,..
United States,USA,"Outstanding loans per 1,000 adults",s_loans_A1,27.29698,27.8399,28.05713,29.55919,31.53285,33.11971,34.24468,..,..
United States,USA,"POS terminals per 100,000 adults",GPSS_4,..,..,..,..,..,..,..,..,..
United States,USA,Received wages or government transfers into an account (% age 15+),gf10_n,..,..,..,56.56199,..,..,64.98352,..,..
United States,USA,Received wages or government transfers into an account (% age 60+),gf10_n_7,..,..,..,45.67736,..,..,65.88321,..,..
United States,USA,Received wages or government transfers into an account (% ages 35-59),gf10_n_6,..,..,..,63.21784,..,..,68.1012,..,..
United States,USA,"Received wages or government transfers into an account, (% ages 15-34)",gf10_n_5,..,..,..,56.8025,..,..,60.31564,..,..
United States,USA,"Received wages or government transfers into an account, female (% age 15+)",gf10_n_1,..,..,..,57.96233,..,..,66.77379,..,..
United States,USA,"Received wages or government transfers into an account, income, poorest 40% (% age 15+)",gf10_n_3,..,..,..,48.24001,..,..,49.74594,..,..
United States,USA,"Received wages or government transfers into an account, income, richest 60% (% age 15+)",gf10_n_4,..,..,..,61.9045,..,..,75.09555,..,..
United States,USA,"Received wages or government transfers into an account, male (% age 15+)",gf10_n_2,..,..,..,55.15171,..,..,63.14309,..,..
United States,USA,"Retail cashless transactions per 1,000 adults",GPSS_2,365.4228,411.9923,389.3984,402.6871,390.6858,..,..,..,..
United States,USA,Saved at a financial institution (% age 15+),fin17a_t_a,50.39787,..,..,54.11385,..,..,62.19674,..,..
United States,USA,Saved at a financial institution (% age 60+),fin17a_t_a_7,43.83364,..,..,47.44364,..,..,63.09663,..,..
United States,USA,Saved at a financial institution (% ages 15-34),fin17a_t_a_5,50.24542,..,..,54.41154,..,..,56.40031,..,..
United States,USA,Saved at a financial institution (% ages 35-59),fin17a_t_a_6,54.57655,..,..,58.30091,..,..,66.23113,..,..
United States,USA,"Saved at a financial institution, female  (% age 15+)",fin17a_t_a_1,47.63561,..,..,53.46634,..,..,61.86926,..,..
United States,USA,"Saved at a financial institution, income, poorest 40% (% age 15+)",fin17a_t_a_3,28.54405,..,..,37.28364,..,..,40.86377,..,..
United States,USA,"Saved at a financial institution, income, richest 60% (% age 15+)",fin17a_t_a_4,64.93475,..,..,64.9184,..,..,76.35382,..,..
United States,USA,"Saved at a financial institution, male (% age 15+)",fin17a_t_a_2,53.25621,..,..,54.76595,..,..,62.53341,..,..
United States,USA,Saved for old age (% age 15+),fin16_t_a,..,..,..,45.06199,..,..,54.01405,..,..
United States,USA,Saved for old age (% age 60+),fin16_t_a_7,..,..,..,42.68534,..,..,54.80512,..,..
United States,USA,Saved for old age (% ages 15-34),fin16_t_a_5,..,..,..,31.80241,..,..,40.70505,..,..
United States,USA,Saved for old age (% ages 35-59),fin16_t_a_6,..,..,..,57.08042,..,..,64.23345,..,..
United States,USA,"Saved for old age, female (% age 15+)",fin16_t_a_1,..,..,..,43.98057,..,..,52.41995,..,..
United States,USA,"Saved for old age, income, poorest 40% (% age 15+)",fin16_t_a_3,..,..,..,29.2628,..,..,30.88152,..,..
United States,USA,"Saved for old age, income, richest 60% (% age 15+)",fin16_t_a_4,..,..,..,55.20467,..,..,69.36535,..,..
United States,USA,"Saved for old age, male (% age 15+)",fin16_t_a_2,..,..,..,46.1511,..,..,55.65282,..,..
United States,USA,SME deposit accounts (as a % of non-financial corporation borrowers),i_deposit_acc_A1_sme_perNFC,..,..,..,..,..,..,..,..,..
United States,USA,SME loan accounts (as a % of non-financial corporation borrowers),i_loan_acc_A1_sme_perNFC,..,..,..,..,..,..,..,..,..
United States,USA,SMEs with a proportion of loans requiring collateral,fin11q2,..,..,..,..,..,..,..,..,..
United States,USA,SMEs with an account at a formal financial institution,fin15q2,..,..,..,..,..,..,..,..,..
United States,USA,SMEs with an outstanding loan or line of credit,fin14q2,..,..,..,..,..,..,..,..,..
United States,USA,SMEs with at least one female owner with a proportion of loans requiring collateral,fin11q1,..,..,..,..,..,..,..,..,..
United States,USA,SMEs with at least one female owner with an account at a formal financial institution,fin15q1,..,..,..,..,..,..,..,..,..
United States,USA,SMEs with at least one female owner with an outstanding loan or line of credit,fin14q1,..,..,..,..,..,..,..,..,..
United States,USA,Used a debit or credit card to make a purchase in the past year (% age 15+),fin4_t_d,..,..,..,83.76904,..,..,85.92492,..,..
United States,USA,Used a mobile phone or the internet to check account balance in the past year (% age 15+),fin6_a,..,..,..,..,..,..,71.35632,..,..
United States,USA,Used a mobile phone or the internet to check account balance in the past year (% age 60+),fin6_a_7,..,..,..,..,..,..,58.26511,..,..
United States,USA,Used a mobile phone or the internet to check account balance in the past year (% ages 15-34),fin6_a_5,..,..,..,..,..,..,78.96439,..,..
United States,USA,Used a mobile phone or the internet to check account balance in the past year (% ages 35-59),fin6_a_6,..,..,..,..,..,..,74.99189,..,..
United States,USA,"Used a mobile phone or the internet to check account balance in the past year, female  (% age 15+)",fin6_a_1,..,..,..,..,..,..,71.08378,..,..
United States,USA,"Used a mobile phone or the internet to check account balance in the past year, income, poorest 40% (% age 15+)",fin6_a_3,..,..,..,..,..,..,62.23873,..,..
United States,USA,"Used a mobile phone or the internet to check account balance in the past year, income, richest 60% (% age 15+)",fin6_a_4,..,..,..,..,..,..,77.40697,..,..
United States,USA,"Used a mobile phone or the internet to check account balance in the past year, male (% age 15+)"",fin6_a_2,..,..,..,..,..,..,71.63649,..,..
Australia,AUS,Access to a mobile phone (% age 15+),gwp1_n,..,..,..,..,..,..,90.42136,..,..
Australia,AUS,Access to a mobile phone (% age 60+),gwp1_n_7,..,..,..,..,..,..,76.89192,..,..
Australia,AUS,Access to a mobile phone (% ages 15-34),gwp1_n_5,..,..,..,..,..,..,98.43697,..,..
Australia,AUS,Access to a mobile phone (% ages 35-59),gwp1_n_6,..,..,..,..,..,..,95.52321,..,..
Australia,AUS,"Access to a mobile phone, female (% age 15+)",gwp1_n_1,..,..,..,..,..,..,92.17778,..,..
Australia,AUS,"Access to a mobile phone, income, poorest 40% (% age 15+)",gwp1_n_3,..,..,..,..,..,..,85.10598,..,..
Australia,AUS,"Access to a mobile phone, income, richest 60% (% age 15+)",gwp1_n_4,..,..,..,..,..,..,93.95924,..,..
Australia,AUS,"Access to a mobile phone, male (% age 15+)",gwp1_n_2,..,..,..,..,..,..,88.60595,..,..
Australia,AUS,Access to internet (% age 15+),gwp2_n,..,..,..,..,..,..,91.07783,..,..
Australia,AUS,Access to internet (% age 60+),gwp2_n_7,..,..,..,..,..,..,75.27689,..,..
Australia,AUS,Access to internet (% ages 15-34),gwp2_n_5,..,..,..,..,..,..,98.7086,..,..
Australia,AUS,Access to internet (% ages 35-59),gwp2_n_6,..,..,..,..,..,..,97.74044,..,..
Australia,AUS,"Access to internet, female (% age 15+)",gwp2_n_1,..,..,..,..,..,..,90.61681,..,..
Australia,AUS,"Access to internet, income, poorest 40% (% age 15+)",gwp2_n_3,..,..,..,..,..,..,86.34592,..,..
Australia,AUS,"Access to internet, income, richest 60% (% age 15+)",gwp2_n_4,..,..,..,..,..,..,94.22736,..,..
Australia,AUS,"Access to internet, male (% age 15+)",gwp2_n_2,..,..,..,..,..,..,91.55433,..,..
Australia,AUS,Account (% age 15+),account_t_d,99.06484,..,..,98.85957,..,..,99.51937,..,..
Australia,AUS,Account (% age 60+),account_t_d_7,98.50028,..,..,100,..,..,98.93741,..,..
Australia,AUS,Account (% ages 15-34),account_t_d_5,98.83958,..,..,97.33793,..,..,100,..,..
Australia,AUS,Account (% ages 35-59),account_t_d_6,99.53808,..,..,99.24191,..,..,100,..,..
Australia,AUS,"Account, female (% age 15+)",account_t_d_1,98.59229,..,..,99.03623,..,..,99.19509,..,..
Australia,AUS,"Account, income, poorest 40% (% age 15+)",account_t_d_3,97.95355,..,..,100,..,..,99.28784,..,..
Australia,AUS,"Account, income, richest 60% (% age 15+)",account_t_d_4,99.80313,..,..,98.12948,..,..,99.67348,..,..
Australia,AUS,"Account, male (% age 15+)",account_t_d_2,99.59469,..,..,98.67058,..,..,99.85454,..,..
Australia,AUS,Active account (% age 15+),gf7_n,..,..,..,97.04767,..,..,96.63561,..,..
Australia,AUS,Active account (% age 60+),gf7_n_7,..,..,..,97.12065,..,..,93.75017,..,..
Australia,AUS,Active account (% ages 15-34),gf7_n_5,..,..,..,94.98898,..,..,96.87393,..,..
Australia,AUS,Active account (% ages 35-59),gf7_n_6,..,..,..,98.42157,..,..,98.89545,..,..
Australia,AUS,"Active account, female (% age 15+)",gf7_n_1,..,..,..,96.42068,..,..,97.41069,..,..
Australia,AUS,"Active account, income, poorest 40% (% age 15+)",gf7_n_3,..,..,..,97.6354,..,..,95.59491,..,..
Australia,AUS,"Active account, income, richest 60% (% age 15+)",gf7_n_4,..,..,..,96.67142,..,..,97.32829,..,..
Australia,AUS,"Active account, male (% age 15+)",gf7_n_2,..,..,..,97.71839,..,..,95.83451,..,..
Australia,AUS,"Agents of payment service providers per 100,000 adults",GPSS_3,..,..,..,..,..,..,..,..,..
Australia,AUS,"ATMs per 100,000 adults",i_ATMs_pop,170.4668,164.5733,160.9626,164.9301,163.5515,167.4478,162.0064,..,..
Australia,AUS,Borrowed from a financial institution or used a credit card (% age 15+),fin22a_t_d,..,..,..,64.99203,..,..,63.73687,..,..
Australia,AUS,Borrowed from a financial institution or used a credit card (% age 60+),fin22a_t_d_7,..,..,..,70.05551,..,..,66.21892,..,..
Australia,AUS,Borrowed from a financial institution or used a credit card (% ages 15-34),fin22a_t_d_5,..,..,..,45.09533,..,..,38.29755,..,..
Australia,AUS,Borrowed from a financial institution or used a credit card (% ages 35-59),fin22a_t_d_6,..,..,..,76.09036,..,..,76.99925,..,..
Australia,AUS,"Borrowed from a financial institution or used a credit card, female (% age 15+)",fin22a_t_d_1,..,..,..,66.14609,..,..,63.84785,..,..
Australia,AUS,"Borrowed from a financial institution or used a credit card, income, poorest 40% (% age 15+)",fin22a_t_d_3,..,..,..,55.38946,..,..,49.98152,..,..
Australia,AUS,"Borrowed from a financial institution or used a credit card, income, richest 60% (% age 15+)",fin22a_t_d_4,..,..,..,71.13947,..,..,72.89236,..,..
Australia,AUS,"Borrowed from a financial institution or used a credit card, male (% age 15+)",fin22a_t_d_2,..,..,..,63.7575,..,..,63.62217,..,..
Australia,AUS,"Branches per 100,000 adults",i_branches_A1_pop,30.40556,30.91481,30.09727,29.10809,28.69035,27.7,29.60539,..,..
Australia,AUS,"Debit cards per 1,000 adults",GPSS_5,2058.653,2115.185,2135.928,2163.013,2200.477,..,..,..,..
Australia,AUS,"Deposit accounts per 1,000 adults",i_deposit_acc_A1_pop,..,..,..,..,..,..,..,..,..
Australia,AUS,Disclosure index (0-5),GPFI2,..,..,3,..,..,..,4,..,..
Australia,AUS,Dispute resolution index (0-1),GPFI3,..,..,1,..,..,..,1,..,..
Australia,AUS,"E-money accounts per 1,000 adults",GPSS_1,..,..,..,..,..,..,..,..,..
Australia,AUS,Financial knowledge score (0-3),GPFI1_TOTL,..,..,..,..,..,..,..,..,..
Australia,AUS,Getting credit: Distance to frontier (0-100),GPFI4,..,..,..,..,90,90,90,90,90
Australia,AUS,Has a national identity card (% age 15+),fin48_a,..,..,..,..,..,..,..,..,..
Australia,AUS,Has a national identity card (% age 60+),fin48_a_7,..,..,..,..,..,..,..,..,..
Australia,AUS,Has a national identity card (% ages 15-34),fin48_a_5,..,..,..,..,..,..,..,..,..
Australia,AUS,Has a national identity card (% ages 35-59),fin48_a_6,..,..,..,..,..,..,..,..,..
Australia,AUS,"Has a national identity card, female (% age 15+)",fin48_a_1,..,..,..,..,..,..,..,..,..
Australia,AUS,"Has a national identity card, income, poorest 40% (% age 15+)",fin48_a_3,..,..,..,..,..,..,..,..,..
Australia,AUS,"Has a national identity card, income, richest 60% (% age 15+)",fin48_a_4,..,..,..,..,..,..,..,..,..
Australia,AUS,"Has a national identity card, male (% age 15+)",fin48_a_2,..,..,..,..,..,..,..,..,..
Australia,AUS,"Insurance policy holders per 1,000 adults (life)",s_policyholders_B2_life,..,..,..,..,..,..,..,..,..
Australia,AUS,"Insurance policy holders per 1,000 adults (non-life)",s_policyholders_B2_nonlife,..,..,..,..,..,..,..,..,..
Australia,AUS,Interoperability of ATM networks and interoperability of POS terminals (0-1),GPSS,..,..,..,..,..,..,..,..,..
Australia,AUS,Made or received digital payments in the past year (% age 15+),g20_t,..,..,..,94.90806,..,..,95.86399,..,..
Australia,AUS,Made or received digital payments in the past year (% age 60+),g20_t_7,..,..,..,93.22639,..,..,96.41916,..,..
Australia,AUS,Made or received digital payments in the past year (% ages 15-34),g20_t_5,..,..,..,92.58881,..,..,89.43493,..,..
Australia,AUS,Made or received digital payments in the past year (% ages 35-59),g20_t_6,..,..,..,97.48179,..,..,99.84139,..,..
Australia,AUS,"Made or received digital payments in the past year, female (% age 15+)",g20_t_1,..,..,..,95.43754,..,..,96.14798,..,..
Australia,AUS,"Made or received digital payments in the past year, income, poorest 40% (% age 15+)",g20_t_3,..,..,..,93.18759,..,..,94.54603,..,..
Australia,AUS,"Made or received digital payments in the past year, income, richest 60% (% age 15+)",g20_t_4,..,..,..,96.00949,..,..,96.74121,..,..
Australia,AUS,"Made or received digital payments in the past year, male (% age 15+)",g20_t_2,..,..,..,94.34167,..,..,95.57047,..,..
Australia,AUS,Made payment using a mobile phone or the internet (% age 15+),gf4_n,..,..,..,..,..,..,67.66549,..,..
Australia,AUS,Made payment using a mobile phone or the internet (% age 60+),gf4_n_7,..,..,..,..,..,..,48.13566,..,..
Australia,AUS,Made payment using a mobile phone or the internet (% ages 15-34),gf4_n_5,..,..,..,..,..,..,73.464,..,..
Australia,AUS,Made payment using a mobile phone or the internet (% ages 35-59),gf4_n_6,..,..,..,..,..,..,77.96704,..,..
Australia,AUS,"Made payment using a mobile phone or the internet, female (% age 15+)",gf4_n_1,..,..,..,..,..,..,68.14395,..,..
Australia,AUS,"Made payment using a mobile phone or the internet, income, poorest 40% (% age 15+)",gf4_n_3,..,..,..,..,..,..,59.43314,..,..
Australia,AUS,"Made payment using a mobile phone or the internet, income, richest 60% (% age 15+)",gf4_n_4,..,..,..,..,..,..,73.14489,..,..
Australia,AUS,"Made payment using a mobile phone or the internet, male (% age 15+)",gf4_n_2,..,..,..,..,..,..,67.17097,..,..
Australia,AUS,Main source of emergency funds: savings (% age 15+),fin25a_t_a_s,..,..,..,64.52766,..,..,65.81976,..,..
Australia,AUS,Main source of emergency funds: savings (% age 60+),fin25a_t_a_s_7,..,..,..,76.83189,..,..,82.6767,..,..
Australia,AUS,Main source of emergency funds: savings (% ages 35-59),fin25a_t_a_s_6,..,..,..,61.27785,..,..,62.58629,..,..
Australia,AUS,"Main source of emergency funds: savings, (% ages 15-34)",fin25a_t_a_s_5,..,..,..,57.35375,..,..,49.0098,..,..
Australia,AUS,"Main source of emergency funds: savings, female  (% age 15+)",fin25a_t_a_s_1,..,..,..,61.54857,..,..,67.79698,..,..
Australia,AUS,"Main source of emergency funds: savings, income, poorest 40% (% age 15+)",fin25a_t_a_s_3,..,..,..,54.79938,..,..,55.72467,..,..
Australia,AUS,"Main source of emergency funds: savings, income, richest 60% (% age 15+)",fin25a_t_a_s_4,..,..,..,69.21679,..,..,71.12563,..,..
Australia,AUS,"Main source of emergency funds: savings, male (% age 15+)",fin25a_t_a_s_2,..,..,..,67.52141,..,..,64.01983,..,..
Australia,AUS,"Mobile agent outlets per 100,000 adults",i_mob_agent_pop_registered,..,..,..,..,..,..,..,..,..
Australia,AUS,"Mobile money transactions per 100,000 adults",i_mob_transactions_number_pop,..,..,..,..,..,..,..,..,..
Australia,AUS,"Outstanding loans per 1,000 adults",s_loans_A1,89.75733,93.39159,96.87549,102.9743,110.084,116.0683,120.7248,..,..
Australia,AUS,"POS terminals per 100,000 adults",GPSS_4,4151.523,4099.137,4284.699,4422.065,4939.281,..,..,..,..
Australia,AUS,Received wages or government transfers into an account (% age 15+),gf10_n,..,..,..,79.3417,..,..,79.32118,..,..
Australia,AUS,Received wages or government transfers into an account (% age 60+),gf10_n_7,..,..,..,68.05897,..,..,74.80406,..,..
Australia,AUS,Received wages or government transfers into an account (% ages 35-59),gf10_n_6,..,..,..,84.99183,..,..,84.94008,..,..
Australia,AUS,"Received wages or government transfers into an account, (% ages 15-34)",gf10_n_5,..,..,..,82.70475,..,..,75.59096,..,..
Australia,AUS,"Received wages or government transfers into an account, female (% age 15+)",gf10_n_1,..,..,..,80.58837,..,..,81.91211,..,..
Australia,AUS,"Received wages or government transfers into an account, income, poorest 40% (% age 15+)",gf10_n_3,..,..,..,79.33726,..,..,76.29505,..,..
Australia,AUS,"Received wages or government transfers into an account, income, richest 60% (% age 15+)",gf10_n_4,..,..,..,79.34454,..,..,81.33535,..,..
Australia,AUS,"Received wages or government transfers into an account, male (% age 15+)",gf10_n_2,..,..,..,78.0081,..,..,76.64325,..,..
Australia,AUS,"Retail cashless transactions per 1,000 adults",GPSS_2,356.8968,375.1987,396.8634,417.1238,443.4782,..,..,..,..
Australia,AUS,Saved at a financial institution (% age 15+),fin17a_t_a,61.92494,..,..,61.42761,..,..,62.12402,..,..
Australia,AUS,Saved at a financial institution (% age 60+),fin17a_t_a_7,58.45874,..,..,55.68143,..,..,54.94514,..,..
Australia,AUS,Saved at a financial institution (% ages 15-34),fin17a_t_a_5,72.61211,..,..,62.44144,..,..,61.49969,..,..
Australia,AUS,Saved at a financial institution (% ages 35-59),fin17a_t_a_6,56.50466,..,..,64.61743,..,..,67.44837,..,..
Australia,AUS,"Saved at a financial institution, female  (% age 15+)",fin17a_t_a_1,58.96765,..,..,59.33734,..,..,62.3171,..,..
